id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
1,Achalarus casica,Hesperiidae,Pyrginae,"Upperside is dark brown; forewing has scattered, small, transparent white spots. Underside of hindwing is black-brown with 2 dark bands and a mottled white marginal band. Hindwing fringes are checkered.",1 1/2 - 2 inches (3.8 - 5.1 cm).,Not reported.,Flower nectar.,"Pinyon-juniper woodland, desert grassland, canyons, streamsides, river bottoms, washes.",Several flights from April-October in Texas and Mexico.,"Guatemala north to northern Mexico. Strays north to west Texas, southwest New Mexico, and southeastern Arizona."
2,Achalarus toxeus,Hesperiidae,Pyrginae,Forewings are pointed. Upperside is dark brown with darker rectangular spots. Hindwing usually has white fringe.,1 5/8 - 1 15/16 inches (4.2 - 5 cm).,Texas ebony (Pithecellobium flexicaule) in the pea family (Fabaceae).,Flower nectar.,"Edges of river woods, city flower gardens.",Three broods from February-November.,Panama north through Central America and Mexico to central Texas. Strays north to southern Arizona.
3,Acmon blue,Lycaenidae,Polyommatinae,Upperside of males blue with dark narrow border; female brown. Underside white with black spot pattern. Hindwing above and below with red-orange submarginal band.,3/4 - 1 1/8 inches (2 - 2.9 cm).,"Various species of buckwheats (Eriogonum nudum), lupines (Lupinus), trefoils (lotus), and milkvetches (Astragalus).",Flower nectar.,"Desert, fields, prairie hills, weedy areas, road edges.",Many flights from March-October.,Primarily California west of Sierra Nevada-Cascade Divide south to northern Baja California. Precise limits in neighboring Oregon and Nevada not ascertained.
4,Adelpha eulalia,Nymphalidae,Limenitidinae,"Recently recognized as a different species than Adelpha bredowii of Mexico and California Sister (Adelpha californica). Overall appearance is similar  (large brown-black butterfly with white bands and orange patch on forewings) but eulalia averages notably larger and the dark margins of the forewing tend to be broader. The blue bar along the outer edge of the white hindwing bar is complete, not partial as in A. californica. The orange patch on the forewings tends to be narrower and more linear in shape than californica. The dorsal postdiscal band is white not creamy colored as californica. The external outline of the hindwing postdiscal bands are nearly straight, not sinuous. The bluish coloration below is pale to dark blue rather than violet. There is only one ventral hindwing basal orange bar instead of two in californica.",3-5 inches.,Several species of oaks.,"Water and mud, rotting fruit, rarely flowers.","Oak Woodland, riparian canyons  and mixed coniferous forests, adults usually near water or streams.  Sky island mountain ranges in SE Arizona and southern Rocky Mountains.",,"Mexico (exact range not defined here), Arizona, southern Nevada, SE California in New York, Providence and Granite Mts. (N of Amboy), Utah, Colorado, New Mexico, Kansas, Oklahoma and Texas."
5,Adelpha fessonia,Nymphalidae,Limenitidinae,Upperside is dark brown with an orange forewing apex. White median band across both wings reaches the forewing leading edge.,2 3/16 - 2 3/4 inches (5.6 - 7 cm).,Hackberry Celtis lindheimeri in Texas.,"Nectar from flowers such as Cordia, Croton, and Baccharis; decaying fruit.",Forest edges and trails near streams.,"March-April and July-December in Texas, March-November in Mexico and Central America, perhaps all year in Costa Rica.","Panama north through Central America to Mexico. A periodic resident in the lower Rio Grande Valley, Texas."
6,Agathymus neumoegeni,Hesperiidae,Megathyminae,Upperside is orange to yellow-orange with black borders and black patches. Underside of hindwing is dark gray with a faint pale band.,1 3/4 - 2 3/8 inches (4.5 - 6.1 cm).,Parry\'s agave (Agave parryi).,Females do not feed; males take moisture at mud or manure.,Shrub-grassland or open woodland.,One brood from September-October.,Central Arizona to west-central New Mexico; southern New Mexico to west Texas.
7,Agriades glandon,Lycaenidae,Polyommatinae,"Geographically variable. Upperside of male gray-blue, female orange-brown; both sexes with dark cell spots on both wings. Underside hindwing with postmedian black spots lacking or enclosed by white patches.",7/8 - 1 inches (2.2 - 2.6 cm).,"Possibly Diapensia lapponica, Dodecatheon, and Androsace septentionalis.",Flower nectar.,"Bogs, tundra, gravelly hills, alpine fell-fields, and subalpine meadows.","One brood from early May to late September, mainly June-August.","Holarctic. Alaska east to Newfoundland, south through the mountains of the West to Washington, northern Arizona, and northern New Mexico."
8,Amblyscirtes exoteria,Hesperiidae,Hesperiinae,"Fringes are checkered; male forewing has a long stigma. Upperside is brown with an orange tint; forewing has small white spots. Underside is dark brown with gray overscales; forewing repeats upperside pattern but with larger spots, hindwing has many small, white spots.",1 1/4 - 1 1/2 inches (3.2 - 3.8 cm).,Probably muhly (Muhlenbergia emersleyi) in the grass family (Poaceae).,Flower nectar.,"Open woodland, oak canyons.",One brood from June-September.,Arizona and southwestern New Mexico south into Mexico.
9,Amblyscirtes phylace,Hesperiidae,Hesperiinae,"Fringes are cream-colored and not checkered, head and palpi are orange. Upperside is brown-black with no markings; male forewing has a small black stigma. Underside is dark brown with no markings.",7/8 - 1 1/8 inches (2.2 - 2.9 cm).,Not reported.,Flower nectar.,Open woodland and grassland.,One brood from June-August.,"The Rocky Mountains of Colorado, New Mexico, Arizona, and west Texas."
10,American lady,Nymphalidae,Nymphalinae,"Upperside with uneven brown, yellow, and orange pattern. Forewing with a black apical patch, a small white spot in the orange field below the patch, and a white bar at the leading edge of the forewing. Underside of hindwing with two large eyespots. Winter form is smaller and paler, summer form larger with brighter coloring.",1 3/4 - 2 5/8 inches (4.5 - 6.7 cm).,"Plants in the sunflower family everlasting (Gnaphalium obtusifolium), pearly everlasting (Anaphalis margaritacea), plantain-leaved pussy toes (Antennaria plantaginifolia), wormwood (Artemisia), ironweed (Vernonia), and burdock (Arctium).","Flower nectar almost exclusively, including dogbane, aster, goldenrod, marigold, selfheal, common milkweed, and vetch.","Open places with low vegetation including dunes, meadows, parks, vacant lots, forest edges.","Three to four broods from May-November, all year in the Deep South and South Texas. It is not known if adults can survive very cold winters; the East may have to be recolonized each year by southern migrants.","Resident in the southern United States, Mexico, and Central America south to Colombia. Migrates to and temporarily colonizes the northern United States, southern Canada, the West Indies, and Europe. Rare stray to Newfoundland and Labrador."
