id,latin_name,plant_common_name,plant_family,plant_habitats,plant_range,plant_physical_characteristics,plant_cultivation,plant_propagation,image_file,img_attr
1,Allium,"Hooker's Onion, Tapertip onion",Alliaceae,"Amongst dry sunny rocks on hills and plains[60, 203].",Western N. America - Washington to N. California.,"Allium is a BULB growing to 0.3 m (1ft) by 0.1 m (0ft 4in).  It is hardy to zone (UK) 6.  It is in flower from May to June. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, insects.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil.","Prefers a sunny position in a light well-drained soil[1]. The bulbs tend to rot when grown in cool wet climates, even if they are given sharp drainage[203]. This species is best in a cold frame and given a dry summer rest[163, 203]. The bulbs should be planted fairly deeply[1]. Most members of this genus are intolerant of competition from other growing plants[203]. Grows well with most plants, especially roses, carrots, beet and chamomile, but it inhibits the growth of legumes[18, 20, 54]. This plant is a bad companion for alfalfa, each species negatively affecting the other[201]. Members of this genus are rarely if ever troubled by browsing deer[233].","Seed - sow spring in a cold frame. Prick out the seedlings into individual pots when they are large enough to handle - if you want to produce clumps more quickly then put three plants in each pot. Grow them on in the greenhouse for at least their first winter and plant them out into their permanent positions in spring once they are growing vigorously and are large enough. Division in spring. Very easy, the plants divide successfully at any time in the growing season and the divisions can be planted straight out into their permanent positions if required.",Allium.jpg,"https://commons.wikimedia.org/wiki/File:Wild_Allium_in_Behbahan,_Iran.jpg"
2,Monarda,"Lemon Bergamot, Lemon beebalm. Lemon Mint",Lamiaceae or Labiatae,"Limestone barrens and slopes[43]. Prairies, savannahs and roadsides in Texas[274].",Central and Southern N. America to Mexico.,"Monarda is a ANNUAL/PERENNIAL growing to 0.6 m (2ft) at a fast rate. It is hardy to zone (UK) 6.  It is in flower from July to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Landscape Uses:Border, Massing, Specimen. An easily grown plant, succeeding in ordinary garden soil so long as it is not too dry[1]. Requires a moist soil and a sunny position[1, 200]. Likes some shade. Prefers a sandy rather acidic soil[200]. This species is closely related to M. pectinata[235]. Said to be a perennial in some books and an annual in others, it has acted as an annual with us so far[K]. A good bee plant[200]. Subject to mildew in dry summers[200]. Special Features:
Attracts birds, North American native, Edible, Fragrant foliage, Attracts butterflies.","Seed - sow mid to late spring in a cold frame. Germination usually takes place within 10 - 40 days at 20°c. When large enough to handle, prick the seedlings out into individual pots and plant them out into their permanent positions in early summer. The seed can also be sown in situ in late summer in areas where the winters are not too severe and will produce larger plants. Cuttings of soft basal shoots in spring. Harvest the shoots with plenty of underground stem when they are about 8 - 10cm above the ground. Pot them up into individual pots and keep them in light shade in a cold frame or greenhouse until they are rooting well. Plant them out in the summer. Division in spring or autumn.",Monarda.jpg,https://commons.wikimedia.org/wiki/File:Monarda_didyma_00.jpg
3,Prunus serotina,"Rum Cherry - Wild Cherry, Black  Cherry, Wild Black  Cherry",Rosaceae,"Found in a variety of soils, preferring moist fertile conditions on north or east facing slopes or protected coves[229]. Dry woods[43].","N. America - Nova Scotia to Minnesota, south to Florida and Texas. Also in Arizona and Mexico.","Prunus serotina is a deciduous Tree growing to 18 m (59ft) by 8 m (26ft) at a fast rate. It is hardy to zone (UK) 3.  It is in flower from May to June, and the seeds ripen in September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers  moist soil.","Requires a well-drained moisture retentive soil[1, 11]. Requires a warm sunny position[11, 159]. Thrives in a loamy soil, doing well on limestone[11]. Prefers some chalk in the soil but apt to become chlorotic if too much is present[1]. A fast-growing and moderately long-lived tree in the wild, producing a heavy fruit crop about once every 4 years[229]. It is cultivated for its timber in C. Europe[50]. This species produces an abundance of flowers and usually fruits well in Britain[11]. In the wild the tree begins to fruit when about 10 years old and then continues for about 100 years, fruiting well in most years[149]. Most members of this genus are shallow-rooted and will produce suckers if the roots are damaged[238]. Plants in this genus are notably susceptible to honey fungus[200]. Special Features:
Attracts birds, North American native, Naturalizing, All or parts of this plant are poisonous, Attracts butterflies, Fragrant flowers, Attractive flowers or blooms.","Seed - requires 2 - 3 months cold stratification and is best sown in a cold frame as soon as it is ripe[200]. Sow stored seed in a cold frame as early in the year as possible[200]. Protect the seed from mice etc. The seed can be rather slow, sometimes taking 18 months to germinate[113]. Prick out the seedlings into individual pots when they are large enough to handle. Grow them on in a greenhouse or cold frame for their first winter and plant them out in late spring or early summer of the following year. Cuttings of half-ripe wood with a heel, July/August in a frame[11, 200]. Softwood cuttings from strongly growing plants in spring to early summer in a frame[200]. Layering in spring.",Prunus_serotina.jpg,https://commons.wikimedia.org/w/index.php?curid=163714
4,Baptisia australis,"Wild Indigo, Blue wild indigo, Blue False Indigo",Fabaceae or Leguminosae,"Rich woods and alluvial thickets, often on river banks[43].","Eastern and Central N. America - Pennsylvania to Georgia, west to Texas, Nebraska and Indiana.","Baptisia australis is a PERENNIAL growing to 1.5 m (5ft) by 0.6 m (2ft in) at a slow rate. It is hardy to zone (UK) 5. It is in leaf from May to October, in flower from July to August, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs). It can fix Nitrogen.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: acid and neutral soils. It cannot grow in the shade. It prefers dry or  moist soil.","Landscape Uses:Border, Container, Foundation, Massing, Seashore. Prefers a deep, well-drained neutral to slightly acid soil in full sun[188, 200]. Grows freely in a loamy soil[1]. Succeeds in a hot dry position. Succeeds in a rich moist soil in sun or light shade[187]. Plants are hardy to about -20°c[187]. A very ornamental species, but it is somewhat shy flowering in British gardens[1]. Plants have a very deep root system and dislike root disturbance, they should be left alone once they are established[188, 233]. This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[200]. Special Features:Attracts birds, Attractive foliage, North American native, Naturalizing, Attracts butterflies, Suitable for cut flowers, Suitable for dried flowers. The plant is heat tolerant in zones 9 through 1. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. 
Plant Heat Zones show when plants would start suffering from the heat.  
The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). 
At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). 
For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2]. The root pattern is a tap root similar to a carrot going directly down [1-2].",Seed - best sown as soon as it is ripe in a cold frame[200]. Stored seed should be pre-soaked for 24 hours in warm water and then sown in a cold frame in late winter or early spring. Prick out the seedlings into individual pots as soon as they are large enough to handle and plant them out into their permanent positions in the summer or following spring. Division in spring[188]. Larger divisions can be planted straight into their permanent positions whilst smaller clumps are best potted up and kept in a cold frame until they are growing away well.,Baptisia_australis.jpg,https://commons.wikimedia.org/wiki/File:Baptisia_australis.jpg
5,Vaccinium corymbosum,"High-Bush Blueberry, American Blueberry, Swamp Blueberry, Blueberry",Ericaceae,"Swamps, low wet woods, pine barrens and dry uplands[43].",Eastern N. America - Nova Scotia to Quebec and south to Florida..,"Vaccinium corymbosum is a deciduous Shrub growing to 2 m (6ft) by 2 m (6ft) at a medium rate.  It is hardy to zone (UK) 2.  It is in flower from May to June, and the seeds ripen in August. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. The plant is not self-fertile.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: acid soils and  can grow in very acid soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Landscape Uses: Border, Massing, Seashore. Requires a moist but freely-draining lime free soil, preferring one that is rich in peat or a light loamy soil with added leaf-mould[11, 200]. Prefers a very acid soil with a pH in the range of 4.5 to 6, plants soon become chlorotic when lime is present. Succeeds in full sun or light shade though it fruits better in a sunny position[200]. Requires shelter from strong winds[200]. Hardy to about -25°c[184]. Often cultivated for its edible fruit in America[183], it is the most common and successful blueberry to be cultivated in Britain[11]. There are many named varieties[183]. A very variable plant, it usually blossoms freely in Britain[11]. Plants are at least partially self-sterile, more than one variety is required in order to obtain good yields of fruit[182]. Dislikes root disturbance, plants are best grown in pots until being planted out in their permanent positions[200]. leave the fruit on the shrub until the last minute, as the fruit is very acidic and will not ripen after being picked. Does not grow well with blackberries or raspberries[201]. Closely related to V. atrococcum and V. virgatum[182]. Plants in this genus are notably resistant to honey fungus[200]. Special Features:Attracts birds, North American native, Edible, Wetlands plant, Attracts butterflies, Attractive flowers or blooms. The plant is heat tolerant in zones 7 through 1. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. 
Plant Heat Zones show when plants would start suffering from the heat.  
The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). 
At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). 
For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is multistemmed with multiple stems from the crown [1-2]. The root pattern is flat with shallow roots forming a plate near the soil surface [1-2]. The root pattern is stoloniferous rooting from creeping stems above the ground [1-2].","Seed - sow late winter in a greenhouse in a lime-free potting mix and only just cover the seed[78]. Stored seed might require a period of up to 3 months cold stratification[113]. Another report says that it is best to sow the seed in a greenhouse as soon as it is ripe[200]. Once they are about 5cm tall, prick the seedlings out into individual pots and grow them on in a lightly shaded position in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of greenwood, May/June in a shady position in a compost that contains some peat[113]. Cuttings of half-ripe wood, 5 - 8cm with a heel, August in a frame[78]. Slow and difficult. Cuttings of mature wood, harvested in November and stored in a fridge then planted in a frame in March. Layering in late summer or early autumn[78]. Another report says that spring is the best time to layer[200]. Takes 18 months[78]. Division of suckers in spring or early autumn[113].",Vaccinium_corymbosum.jpg,https://commons.wikimedia.org/w/index.php?curid=146498
6,Cephalanthus occidentalis,"Button Bush, Common buttonbush, Button Willow, Honey Bells, Buttonbush",Rubiaceae,"A lowland species, growing along the edges of streams, rivers, lakes, swamps and wet floodplains[229].","Eastern N. America - Nova Scotia to Florida, west to Minnesota and California","Cephalanthus occidentalis is a deciduous Shrub growing to 7 m (23ft).  It is hardy to zone (UK) 6.  It is in flower in August, and the seeds ripen in October. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid and neutral soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist or  wet soil.","Landscape Uses:Border, Massing. An easily grown plant[1], it prefers an open position in a moisture retentive or wet neutral to acid humus-rich soil[200]. Dislikes dryness at the roots[11]. A calcifuge plant, it dislikes alkaline soils[200]. Requires a sunny position[184]. Plants are hardy to about -25°c[184]. A fast-growing but short-lived species in the wild[229]. The flowers, and the dried leaves, have a soft sweet fragrance like newly mown hay[245]. A good bee plant[149]. Plants are sometimes evergreen[200].  Special Features:North American native, All or parts of this plant are poisonous, Wetlands plant, Attracts butterflies, Fragrant flowers, Attractive flowers or blooms.","Seed - we have no details on this plant but would suggest sowing the seed as soon as it is ripe in an acid compost in a cold frame. Sow stored seed in late winter in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in a cold frame for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of soft or semi-ripe wood, July in a frame[200]. Layering.",Cephalanthus_occidentalis.jpg,https://commons.wikimedia.org/wiki/File:Cephalanthus_occidentalis_occidentalis1.jpg
7,Buddleia,Bai Bei Feng,Buddleiaceae,"Second growth forest, sandy river banks, grass, savannah, landslips and deserted village sites[146, 260].",E. Asia - India to the Philippines.,"Buddleia is an evergreen Shrub growing to 3 m (9ft) by 3 m (9ft).  It is hardy to zone (UK) 8. It is in leaf all year, in flower from January to April. The species is dioecious (individual flowers are either male or female, but only one sex is to be found on any one plant so both male and female plants must be grown if seed is required).  and is pollinated by Bees, Lepidoptera (Moths & Butterflies). The plant is not self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: acid, neutral and basic (alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought. It can tolerate atmospheric pollution.","Requires a sunny position, succeeding in most reasonably good soils so long as they are well-drained[1, 11, 182, 200]. Prefers a rich loamy soil[11]. Plants are very tolerant of alkaline soils[200]. Of doubtful hardiness in most of Britain, it is likely to be damaged or killed by temperatures lower than 0°c[260]. However, one report says that it succeeds outdoors in southern Cornwall[1] whilst other reports say that it might be hardy on a south or south-west facing wall in the mildest areas of this country[11, 166, 182, 188]. So long as the plant is well mulched it resprouts freely from the base if cut back by severe weather[200]. A very ornamental plant[1], the cut flowers last well in water[200]. Hybridizes freely with other members of this genus[200]. Any pruning is best done after flowering[200]. An excellent plant for bees and butterflies. Dioecious. Male and female plants must be grown if seed is required.","Seed - cold stratify for 4 weeks at 4°c[138] and surface sow the seed in February/March in a greenhouse[78, 113] (the pre-chilling might not be required for this species). Germination usually takes place within 3 - 4 weeks at 21°c[138]. When large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter, planting them out into their permanent positions in late spring or early summer, after the last expected frosts. Seedlings are inclined to damp off and so should be watered with care and kept well-ventilated[78]. Cuttings of half-ripe wood, July/August in a frame[11, 113]. Use short side-shoots[78]. Very high percentage[113]. Cuttings of mature wood of the current season's growth, 15 - 20cm long, October/November in a frame[200].",Buddleia.jpg,https://commons.wikimedia.org/w/index.php?curid=40469
8,Nepeta,"Ground Ivy, Field Balm, Gill Over The Ground, Runaway Robin",Lamiaceae or Labiatae,"Damp waste ground, hedgerows and woodland margins[7].","Most of Europe, including Britain, northern and western Asia to Japan.","Nepeta is an evergreen Perennial growing to 0.2 m (0ft 8in) by 1 m (3ft 3in) at a fast rate. It is not frost tender. It is in leaf all year, in flower from March to May. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. It is noted for attracting wildlife. Suitable for: medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Landscape Uses:Container, Ground cover. Prefers a heavy soil and dappled shade[17, 31]. Prefers a moist well-drained soil, succeeding in sun or shade[188]. A very invasive plant, spreading freely at the roots[1, 31, 238]. A good bee plant[108].  Special Features:Attractive foliage, Fragrant foliage, Not North American native, Naturalizing, Attractive flowers or blooms. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is rhizomatous with underground stems sending roots and shoots along their length [2-1].","Seed - we have no information for this species but suggest sowing the seed in situ as soon as it is ripe, or in the spring. Division in spring or autumn[188]. Very easy, larger clumps can be replanted direct into their permanent positions, though it is best to pot up smaller clumps and grow them on in a cold frame until they are rooting well. Plant them out in the spring.",Nepeta.jpg,https://commons.wikimedia.org/w/index.php?curid=493751
9,Dianthus,,Caryophyllaceae,"Found at elevations of 2,400 - 3,000 metres in the Himalayas.",W. Asia - Turkey to E.. Asia - western Tibet.,"Dianthus is a PERENNIAL growing to 0.4 m (1ft 4in) by 0.5 m (1ft 8in).  It is hardy to zone (UK) 6.  It is in flower from July to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, Lepidoptera (Moths & Butterflies). The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry soil.",Prefers an alkaline soil though it can also thrive in neutral and slightly acid soils down to a pH of 6[200]. Requires sunny position[200].,"Seed - sow spring in a cold frame[111]. The seed usually germinates in 2 - 4 weeks at 20°c. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings in July/August in a cold frame. Very high percentage. Division in March[111]. Larger clumps can be replanted direct into their permanent positions, though it is best to pot up smaller clumps and grow them on in a cold frame until they are rooting well. Plant them out in the spring.",Dianthus.jpg,https://commons.wikimedia.org/w/index.php?curid=517796
10,Centaurea,,Asteraceae or Compositae,Not known,N. Africa. Naturalized in Spain[50].,"Centaurea is a PERENNIAL. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, flies, Lepidoptera (Moths & Butterflies). The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: acid, neutral and basic (alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought.","We have very little information on this species and do not know if it will be hardy in Britain, though judging by its native range it could succeed outdoors in many parts of this country. The following notes are based on the general needs of the genus. Succeeds in ordinary garden soil[1, 200]. Prefers a well-drained fertile soil and a sunny position[200]. Tolerates dry, low fertility and alkaline soils[200]. Members of this genus are rarely if ever troubled by browsing deer[233].","Seed - sow April in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in a cold frame for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Division in autumn. Very easy, larger clumps can be replanted direct into their permanent positions, though it is best to pot up smaller clumps and grow them on in a cold frame until they are rooting well. Plant them out in the summer or following spring. This should be done at least once every three years in order to maintain the vigour of the plants. Basal cuttings in spring. Harvest the shoots when they are about 10cm long with plenty of underground stem. Pot them up into individual pots and keep them in light shade in a cold frame or greenhouse until they are rooting well. Plant them out in the summer.",Centaurea.jpg,https://commons.wikimedia.org/w/index.php?curid=39724
